group,rank,soundscape,team,capi_sdri,tp_capi_sdri_mean,casa_sdri,label_tp,label_acc,ref_labels,est_labels,audio_files
good,1,eval_0802,Bando_AIST_task4_3,27.160385131835938,27.160385131835938,27.160385131835938,3,True,Typing|Typing|BicycleBell,BicycleBell|Typing|Typing,eval_0802_0_BicycleBell.wav|eval_0802_2_Typing.wav|eval_0802_4_Typing.wav
good,1,eval_0802,Choi_KAIST_task4_4,23.776342391967773,23.776342391967773,23.776342391967773,3,True,Typing|Typing|BicycleBell,BicycleBell|Typing|Typing,eval_0802_0_BicycleBell.wav|eval_0802_1_Typing.wav|eval_0802_2_Typing.wav
good,1,eval_0802,Saijo_Mitsubishi_task4_3,21.067955017089844,21.067955017089844,21.067955017089844,3,True,Typing|Typing|BicycleBell,Typing|Typing|BicycleBell,eval_0802_0_Typing.wav|eval_0802_1_Typing.wav|eval_0802_2_BicycleBell.wav
good,2,eval_1098,Bando_AIST_task4_3,21.117353439331055,21.117352803548176,21.117353439331055,3,True,BicycleBell|BicycleBell|Percussion,BicycleBell|Percussion|BicycleBell,eval_1098_0_BicycleBell.wav|eval_1098_2_Percussion.wav|eval_1098_4_BicycleBell.wav
good,2,eval_1098,Choi_KAIST_task4_4,19.137657165527344,19.137657801310223,19.137659072875977,3,True,BicycleBell|BicycleBell|Percussion,BicycleBell|Percussion|BicycleBell,eval_1098_0_BicycleBell.wav|eval_1098_1_Percussion.wav|eval_1098_2_BicycleBell.wav
good,2,eval_1098,Saijo_Mitsubishi_task4_3,15.10812759399414,15.108127276102701,15.10812759399414,3,True,BicycleBell|BicycleBell|Percussion,BicycleBell|Percussion|BicycleBell,eval_1098_0_BicycleBell.wav|eval_1098_1_Percussion.wav|eval_1098_2_BicycleBell.wav
good,3,eval_1157,Bando_AIST_task4_3,24.013967514038086,24.013966242472332,24.013967514038086,3,True,Dishes|Dishes|Blender,Dishes|Blender|Dishes,eval_1157_2_Dishes.wav|eval_1157_3_Blender.wav|eval_1157_4_Dishes.wav
good,3,eval_1157,Choi_KAIST_task4_4,21.1851863861084,21.18518575032552,21.1851863861084,3,True,Dishes|Dishes|Blender,Dishes|Dishes|Blender,eval_1157_0_Dishes.wav|eval_1157_1_Dishes.wav|eval_1157_2_Blender.wav
good,3,eval_1157,Saijo_Mitsubishi_task4_3,18.16633415222168,18.16633415222168,18.16633415222168,3,True,Dishes|Dishes|Blender,Dishes|Dishes|Blender,eval_1157_0_Dishes.wav|eval_1157_1_Dishes.wav|eval_1157_2_Blender.wav
good,4,eval_0936,Bando_AIST_task4_3,25.8857421875,25.885744094848633,25.8857421875,3,True,Speech|BicycleBell|BicycleBell,BicycleBell|BicycleBell|Speech,eval_0936_2_BicycleBell.wav|eval_0936_3_BicycleBell.wav|eval_0936_4_Speech.wav
